Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Ostreococcus|s__Ostreococcus_tauri	490	935	810	479	523	542	1167	1103	1054	998	356	897
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Ostreococcus|s__Ostreococcus_sp._'lucimarinus'	661	849	765	522	643	587	1124	1271	1058	1117	452	756
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas|s__Micromonas_pusilla	2087	3546	3451	2114	1736	2163	4159	3573	4114	3779	1659	2230
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas|s__Micromonas_commoda	3195	5441	5264	2840	3156	3428	6083	7005	6643	5866	2293	3961
k__Viridiplantae|p__Chlorophyta|c__Chlorodendrophyceae|o__Chlorodendrales|f__Chlorodendraceae|g__Scherffelia|s__Scherffelia_dubia	54	225	141	109	167	44	142	147	147	302	60	97
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Elliptochloris|s__Elliptochloris_bilobata	0	0	0	0	33	0	12	0	18	0	20	14
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|f__Coccomyxaceae|g__Paradoxia|s__Paradoxia_multiseta	0	15	19	0	43	0	63	0	0	14	0	15
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Jaagichlorella|s__Jaagichlorella_hainangensis	0	0	13	24	16	0	19	12	10	14	0	38
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Jaagichlorella|s__Jaagichlorella_roystonensis	0	31	18	24	33	12	38	11	17	25	15	33
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Watanabea|s__Watanabea_reniformis	21	156	125	35	35	0	85	86	99	134	29	74
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|s__Trebouxiophyceae_sp._MX-AZ01	90	264	219	87	153	98	127	93	214	310	67	30
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Microthamniales|f__Microthamniaceae|g__Fusochloris|s__Fusochloris_perforata	40	113	85	38	86	22	93	55	105	102	0	63
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Microthamniales|f__Microthamniaceae|g__Microthamnion|s__Microthamnion_kuetzingianum	81	31	49	50	53	16	94	58	45	21	28	113
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Stichococcaceae|g__Stichococcus|s__Stichococcus_bacillaris	48	35	42	33	60	26	100	42	33	22	20	92
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Prasiolaceae|g__Edaphochlorella|s__Edaphochlorella_mirabilis	55	216	140	127	159	49	93	75	137	122	101	185
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Koliellaceae|g__Koliella|s__Koliella_corcontica	45	112	81	55	74	21	139	56	78	63	29	75
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Koliellaceae|g__Koliella|s__Koliella_longiseta	65	164	122	44	138	28	192	121	136	147	49	287
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Xylochloris|s__Xylochloris_irregularis	33	167	96	43	73	13	70	94	102	113	38	79
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Choricystis|s__Choricystis_parasitica	43	148	121	74	90	25	84	86	67	98	35	125
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Coccomyxa|s__Coccomyxa_subellipsoidea	62	228	257	108	165	73	84	136	196	241	57	103
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Botryococcus|s__Botryococcus_braunii	79	220	198	124	1380	38	91	85	173	215	91	65
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Trebouxia|s__Trebouxia_lynnae	22	127	153	43	65	17	88	166	87	98	39	171
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Symbiochloris|s__Symbiochloris_handae	29	88	34	26	47	0	30	17	51	56	20	40
