Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Benincasa|s__Benincasa_hispida	7604	9316	6637	6813	7794	3494	8545	13978	6698	5905	8838	28299
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis_sativus	2866	3969	2593	2830	3091	1395	3404	5456	2821	2449	3300	11276
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis_melo	23563	27685	21566	22481	23438	11651	29650	41708	22602	19539	27585	90037
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Betulaceae|g__Corylus|s__Corylus_avellana	4443	6058	4560	4230	4063	2386	5332	6895	4718	4513	4865	12969
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Betulaceae|g__Alnus|s__Alnus_glutinosa	9559	12302	8785	8847	8587	5473	11844	14710	9984	10177	9833	28045
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Fagaceae|g__Quercus|s__Quercus_robur	11343	14602	10246	9869	10281	6136	13579	17531	11317	10638	12331	31123
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Fagaceae|g__Quercus|s__Quercus_lobata	9038	10669	7352	7641	8021	4672	10353	13980	8504	7799	9964	25720
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Carya|s__Carya_illinoinensis	7556	9725	6876	6782	7282	3953	9146	13144	7426	6806	8154	24604
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Juglans|s__Juglans_microcarpa_x_Juglans_regia	5884	7461	5182	5172	5355	3579	8217	9228	5723	5771	6270	17560
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Juglans|s__Juglans_regia	7154	9133	6734	6482	6372	3497	7746	12297	7546	6830	7461	22439
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Salicaceae|g__Populus|s__Populus_trichocarpa	5234	6430	4737	4660	5471	2501	6074	9896	5161	4465	6319	19915
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Salicaceae|g__Populus|s__Populus_nigra	16851	21712	16335	15802	16844	9230	20404	33346	16777	16173	20527	62014
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Euphorbia|s__Euphorbia_lathyris	6421	8281	5930	5724	6774	3425	7623	12067	5714	5384	7652	23359
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Ricinus|s__Ricinus_communis	4766	5794	4517	4452	4948	2358	5585	9568	4113	3745	5433	21118
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Mercurialis|s__Mercurialis_annua	6257	8397	5998	6155	6968	3081	7907	13668	5953	4952	7794	29833
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Manihot|s__Manihot_esculenta	8209	10775	8137	8299	8906	4562	10922	17442	8087	7209	9973	36973
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Hevea|s__Hevea_brasiliensis	11827	14448	11065	11343	12159	6461	14292	23255	10812	9933	14040	47714
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rhamnaceae|g__Ziziphus|s__Ziziphus_jujuba	9360	11590	8392	8204	8248	4731	10569	14973	8563	7885	10083	31062
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Cannabaceae|g__Cannabis|s__Cannabis_sativa	6108	7547	5621	5581	6150	3147	7118	12178	5693	4835	7003	24420
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Cannabaceae|g__Humulus|s__Humulus_lupulus	18492	21667	16113	15866	17248	9623	21372	33075	17426	16465	19290	60025
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Fragaria|s__Fragaria_vesca	2213	2467	1960	1903	2007	1148	2442	3274	2199	2406	2208	5425
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Argentina|s__Argentina_anserina	2530	3096	2304	2261	2278	1561	2873	3679	2774	2434	2725	5795
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Rosa|s__Rosa_rugosa	2364	3188	2132	2078	2245	1499	3001	3531	2794	2573	2420	5754
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Rosa|s__Rosa_chinensis	2846	3501	2628	2375	2480	1555	3426	4562	2905	2632	2752	7325
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_dulcis	1870	2339	1566	1787	1605	986	2629	2681	1882	1858	1813	5507
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_persica	2100	2996	1900	2000	2211	1173	2559	3559	2551	2024	3098	5276
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_mume	2241	2759	2084	1946	1908	1157	2689	3367	2507	2293	2236	5786
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Pyrus|s__Pyrus_communis	4257	5096	3754	3618	3691	2370	5052	6166	4191	3921	4590	11777
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Malus|s__Malus_domestica	3405	4324	3087	2926	2410	1870	3827	4787	3766	3287	3366	8408
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Malus|s__Malus_sylvestris	4554	5114	4234	3468	10063	2437	6375	6207	4095	3957	4482	11962
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Lupinus|s__Lupinus_angustifolius	7538	9517	7558	7261	7236	4255	8757	13383	7417	6821	7691	27682
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_ipaensis	4934	7078	5115	5035	5308	2789	6019	10304	5583	4749	6624	19543
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_duranensis	4342	5286	4029	4128	4520	2265	5219	8386	4152	3931	5235	16863
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_stenosperma	7049	9463	6428	6927	7576	3784	9110	15307	7345	6270	8943	28279
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_hypogaea	15387	18608	14299	14025	15294	7623	18295	29590	14349	12893	17332	57615
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Lotus|s__Lotus_japonicus	4345	5113	3633	3785	3965	2275	5112	6612	4136	3730	4604	13548
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Cicer|s__Cicer_arietinum	7929	9512	7700	7536	8120	3844	9429	16842	7349	6311	9521	34897
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Medicago|s__Medicago_truncatula	4143	5471	3749	3852	4295	1786	4996	8132	3978	3360	4910	16675
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Trifolium|s__Trifolium_pratense	7084	8593	6064	6152	6739	3635	7614	13178	6652	5520	8439	26240
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vicia|s__Vicia_villosa	11698	15214	10498	10403	12219	5735	13881	24462	10576	9203	13755	47412
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Pisum|s__Pisum_sativum	15136	17592	12539	12988	14040	6934	17145	27486	13932	11786	15990	52963
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Phaseolus|s__Phaseolus_vulgaris	6424	7466	5812	5830	6468	3238	7292	13197	5774	4635	7724	27029
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Cajanus|s__Cajanus_cajan	8359	10788	8452	8003	8613	4391	10729	17506	7962	7333	9417	35639
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Glycine|s__Glycine_max	7432	8477	6214	6226	7061	3214	7973	12685	6449	5508	7562	27160
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Glycine|s__Glycine_soja	6531	8627	6773	6316	6745	4188	8929	14131	6546	6172	8437	27513
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_angularis	5916	7769	5825	5733	6041	3323	7681	11715	5608	5449	7006	25639
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_radiata	7175	8581	6353	6076	7090	4065	8039	14604	7353	6439	8068	25340
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_unguiculata	9376	11044	8923	8930	8918	4447	11068	18707	8709	8298	11092	38111
p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae|g__Cyanidioschyzon|s__Cyanidioschyzon_merolae	330	668	544	367	354	251	437	539	692	651	249	466
