sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L_Alanine	L_Arginine	L_Asparagine	L_Aspartic_Acid	L_Glutamic_acid	L_Glutamine	L_Isoleucine_1	L_Leucine_2	L_Phenylalanine	L_Proline	L_Serine	L_Threonine	L_Tryptophane	L_Valine	Ornithine	Chlorogenic_acid	putative_Chlorogenic_acid_Isomer	Cyanidine_3_Glc	Luteoline_8_C_Glc	Apigenine_8_C_Glc	Luteoline_7_O_Glc	Apigenine_7_O_Glc	Glycine	L_Histidine	L_Methionine	L_Tyrosine	Tyramine	Tryptamine	Shikimic_acid	Apigenine	Luteoline	ABA	SA	JA	JA-Ile	OPDA	IP	IPR	tZ	tZR	cZ	cZR	IAA 	Coumaric_acid_p	Caffeic_acid	Ferulic_acid	Sinapic_acid	Cyanidin_Mal_Glc
"4A, M1-"	2023	M-	M	4A	1	herbivory	indirect	0	1	1	w11	-0.044005131	1.837554826	0.515120408	3.615466032	5.998803590	9.340865195	2.741500778	0.387804778	0.282949131	0.324798974	0.339408305	2.148756352	1.268261860	0.615988928	0.988894653	0.442343085	1.881606950	1.587046989	38.601241942	26.191526248	8.375139933	41.877739544	3.648634776	12.697473777	2.522125062	0.239398236	1.043630303	0.026060451	0.004621700	2.127805279	NA	0.073485059	NA	895.763255	NA	NA	NA	NA	7.17266356	4.378723048	9.968441814	1.050266507	91.01488621	35.52868104	1870.873126	345.7550601	NA	1984.268816	31.4740991
"4A, N1+"	2023	N+	N	4A	1	herbivory	direct	1	1	0	w11	0.000000000	4.508818036	0.901022330	45.317388179	13.625394525	23.691602170	7.231887536	0.912565032	1.003654200	0.779764618	0.887383284	4.272997970	3.010542749	0.997890308	2.534029630	1.551783392	1.817339825	2.666841732	24.837420529	29.583864215	15.521145956	47.785045670	6.825874185	7.768492644	1.849014689	0.134964190	0.894025724	0.511306532	0.016744370	3.717324862	NA	0.051748848	NA	4747.882716	NA	NA	NA	NA	46.33310557	NA	69.0050068	26.15566114	503.0353997	159.7646099	15985.33936	8344.322858	2040.02269	9397.475179	19.63015327
"4A, N1-"	2023	N-	N	4A	1	herbivory	indirect	0	1	1	w11	-0.070059232	2.153005860	0.342175683	0.748647088	4.227709053	8.504066715	4.094402394	0.439020944	0.188283794	0.422283493	0.189586147	1.057948717	0.955197911	0.655262454	0.891747919	0.223819580	1.967058870	1.173556831	38.412477099	27.265139695	8.633336898	48.049028230	3.643760785	0.809755860	0.246283749	0.036345870	0.129386754	0.015651320	0.010507967	1.313268254	NA	0.048873944	80.17094842	804.2175881	17.3074621	NA	12491.40286	NA	5.614815145	NA	25.51007842	NA	208.3620423	21.06389806	1415.673392	205.9384661	42.27996623	3030.98461	20.77580849
"4A, O2+"	2023		O	4A	1	herbivory	direct	1	1	0	w11	NA	3.842866807	0.281523180	1.641316106	5.061659581	10.187967365	2.218071963	1.036569512	1.005557717	0.689656043	0.804544931	5.189744603	2.032853193	NA	2.360402547	1.061655990	1.688695014	1.727660416	63.187333517	28.853638982	17.067211516	46.014488971	5.841522108	1.099319844	0.276501463	0.039578896	0.162667162	NA	0.002509497	3.042670477	NA	0.039910654	NA	2705.123506	NA	NA	NA	33.90684641	11.27897925	7.642461718	4.435933747	11.23863992	131.300151	49.39705743	2801.956983	489.5982686	13.24140014	7227.403013	7.345801131
"4A, O1-"	2023	O-	O	4A	1	herbivory	indirect	0	1	1	w11	-0.027213050	1.492891606	0.204405313	0.737848756	2.482501325	7.312902077	1.558198806	0.233880288	0.170691809	0.258368070	0.179705582	0.944678139	0.879034971	0.453453970	0.791250861	0.160217087	1.563569022	0.728579525	25.596256745	16.555337130	7.830987470	30.572817118	2.486178179	0.668512482	0.235564643	0.033647212	0.120993805	NA	0.003150774	0.698913397	NA	0.031364780	41.24294844	970.6043796	38.10697525	NA	13495.03789	NA	3.351372894	2.014013597	5.355622773	0.87185856	97.97942433	27.48024585	1175.047303	188.0074603	104.9450969	1598.920046	14.67881551
"4A, P2+"	2023		P	4A	1	herbivory	direct	1	1	0	w11	NA	1.317629652	0.108298197	0.337127326	2.663056702	4.351549583	1.320209192	0.388676229	0.357233392	0.250908641	0.149213776	1.006418506	0.775813481	0.450941920	0.813592930	0.074258835	2.021385750	2.572523104	23.252416759	30.143095560	8.090996344	49.080721351	3.342293988	0.575613614	0.199955008	0.038970977	0.113000363	0.035446908	0.002098846	1.409375101	NA	NA	NA	1672.143778	NA	NA	NA	NA	NA	NA	45.49591305	NA	610.7391389	26.16865319	1807.96586	556.3862878	37.51233527	2470.143747	16.55285229
"4A, P1-"	2023	P-	P	4A	1	herbivory	indirect	0	1	1	w11	0.021712583	1.411050823	0.198521244	0.676699002	2.957143976	6.479492548	1.709558919	0.204812667	0.123013078	0.310089761	0.130712522	0.767677784	0.790174036	0.515788777	0.544883822	0.146686446	1.712068525	0.785540435	27.097685997	17.702692730	6.356087646	31.256820247	2.393765388	0.646629150	0.216886665	0.038304693	0.131348940	0.018108565	0.008526311	0.718603346	NA	0.024584838	NA	1447.60436	NA	NA	NA	NA	3.404163082	NA	13.54433036	NA	190.1525952	478.8047336	16888.19906	4643.101873	4304.590503	40106.86684	21.13774184
"4A, Q1+"	2023	Q+	Q	4A	1	herbivory	direct	1	1	0	w11	-0.045641015	2.014498261	0.270333140	18.788845510	7.237942385	13.063960668	2.513350097	0.569397495	0.445626498	0.620736374	0.549613747	1.541912262	1.423473481	0.734353536	1.177037140	0.545467923	5.866914298	2.414265376	21.501427119	23.334097374	20.584389144	30.301931809	3.511417962	0.936110611	0.357905803	0.039528968	0.293154958	0.261580667	0.005445705	1.911833206	NA	NA	NA	1071.852987	179.1373143	114.0995172	12098.59241	NA	9.490512755	8.987572534	7.550308977	4.326168271	100.6740362	72.34727279	1763.646448	510.9896002	60.9044039	NA	21.33025315
"4A, Q1-"	2023	Q-	Q	4A	1	herbivory	indirect	0	1	1	w11	-0.027923355	1.401087967	0.243837423	0.569871661	3.074001364	7.763747432	2.262832352	0.255494557	0.157806295	0.344085069	0.154662718	0.850613901	0.892688454	0.461429179	0.636350110	0.171472633	3.516538579	1.504490380	41.217544198	25.754861806	16.185169002	36.676397689	2.334412759	0.686649345	0.243941196	0.037427334	0.128683602	NA	0.001561876	0.803919061	NA	NA	5.430836086	1224.482434	NA	NA	4676.548392	NA	4.601735984	NA	13.45391295	NA	267.7540411	23.07065879	1075.01737	115.7404042	54.410457	NA	24.01581791
"4A, R1+"	2023	R+	R	4A	1	herbivory	direct	1	1	0	w11	-0.118203123	20.273824546	10.529808134	0.385772057	60.606222655	20.366557979	8.167335886	5.542023956	15.077397044	8.328836699	6.280420929	10.800750414	9.015281457	2.826784638	10.994559289	0.219574618	1.140512035	1.196249100	0.923257233	22.032870138	18.828499601	1.730321535	0.256405933	7.455445798	2.067483473	1.963345141	3.974682390	0.084759813	0.008550574	4.168597642	3.267625547	23.792418703	NA	1661.568601	NA	NA	1240295.312	7.899338669	360.3701737	14.73096626	21.95145718	67.28341004	4499.73561	831.048607	69637.1942	17993.53208	9212.690882	8628.894508	0.603935481
