sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Ornithine	Chlorogenic acid	putative Chlorogenic acid Isomer	Cyanidine_3_Glc	Luteoline 8-C-Glc	Apigenine 8-C-Glc	Luteoline 7-O-Glc	Apigenine 7-O-Glc	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Kynurenine	Kynurenic acid	Serotonin_1	Tyramine	Tryptamine	Shikimic acid	Apigenine	Luteoline	Folic acid	Tetrahydrofolic acid	Lactic acid	Malate	Succinic acid	Dopamin	L-DOPA	GABA	Melatonine	Cyanidin_Mal_Glc
"5C, Q1+"	2024	Q+	Q	5C	2	control	nodirect	0	0	0	w12	0.014649542	1.236523576	0.374390293	4.125830702	5.543233178	8.091364173	4.912882812	0.297059317	0.139717842	0.271375237	0.174018399	1.249834252	1.537468809	0.31496647	0.683566748	0.276335766	2.807320058	1.214293477	57.34646746	22.32107458	14.2898561	30.40874307	3.557853393	0.72563661	0.134383814	0.037859126	0.115031152	2.63E-03	2.90E-03	1.84E-02	1.61E-02	1.39E-03	1.252520169	1.70E-03	0.04474039	3.74E-04	4.93E-03	0.002583044	0.666626883	0.065421607	1.077128581	2.29E-03	0.239006783	NA	29.44990875
"5C, R1-"	2024	R-	R	5C	2	control	noindirect	0	0	1	w12	-0.017369401	1.311402222	0.921545628	53.74466371	4.53195509	4.741646197	3.960450386	0.611657818	0.280679269	0.312015907	0.150780477	2.050097339	2.171646752	0.370570531	1.105298115	1.65508166	1.923247835	0.598081508	29.49783692	10.76111768	7.823455337	17.06586624	2.250402648	0.563721785	0.330297446	0.02681686	0.137394215	3.77E-03	4.99E-03	3.02E-02	3.50E-02	4.47E-03	0.958146197	1.79E-03	0.027538757	NA	3.86E-03	0.007130748	0.527773605	0.040440818	0.967163101	3.99E-03	0.372290347	NA	23.87174622
"5C, R1+"	2024	R+	R	5C	2	control	nodirect	0	0	0	w12	0.043049675	1.674898846	1.999233168	28.5264655	7.608498735	10.16324665	8.86875709	0.45845021	0.298954003	0.339152017	0.246670824	1.951647739	2.146930874	0.42562721	0.967986307	1.980932756	2.458450873	1.184108231	40.51117768	19.29559673	11.61786442	27.82010625	3.451494256	0.592385796	0.280185919	0.037393467	0.148800654	3.28E-03	4.85E-03	3.45E-02	5.00E-02	3.95E-03	1.876500308	3.44E-03	0.099823362	NA	5.93E-03	0.002920287	0.901781253	0.078569189	1.471193041	5.52E-03	0.585352877	NA	28.71111781
"5C, S1-"	2024	S-	S	5C	2	control	noindirect	0	0	1	w12	0.050243171	2.017519191	0.714488529	10.65745091	6.854180227	8.836261387	5.155360695	0.428714388	0.224611221	0.266390242	0.303269324	2.917589921	1.714668772	0.442130686	0.908287897	0.787751294	2.917560152	0.932083041	39.69639746	18.58056858	9.635788192	33.36763004	4.641380874	1.050361709	0.270502856	0.029953858	0.213194373	NA	1.11E-02	3.86E-02	4.21E-02	2.91E-03	1.529205177	1.24E-02	0.275086125	NA	4.97E-03	0.011422115	0.955829049	0.06752608	1.179411252	1.65E-03	0.609450458	NA	29.6298479
"5C, S1+"	2024	S+	S	5C	2	control	nodirect	0	0	0	w12	0	1.160071881	0.885837578	14.8608456	5.566015233	7.573677024	5.59371781	0.462196909	0.211172949	0.230770314	0.175304139	1.125158186	1.792081834	0.447265115	0.87469537	0.589128278	2.61359944	0.992134284	43.38970022	17.9240621	11.82054643	25.85171423	3.328285529	0.635195737	0.209511388	0.035280503	0.129510154	2.30E-03	2.46E-03	2.70E-02	2.39E-02	2.41E-03	1.113357242	2.42E-03	0.057012537	1.32E-04	3.55E-03	0.002664441	0.632145845	0.059932756	0.663934495	2.02E-03	0.335030073	NA	30.51344266
"5C, T1-"	2024	T-	T	5C	2	control	noindirect	0	0	1	w12	0	1.173416387	0.790785087	22.43718667	3.276546637	7.937855746	3.844737734	0.311829431	0.172153761	0.21830872	0.469364694	1.856466547	2.047477094	0.316275278	0.889803679	1.105414877	1.931759835	0.585433305	29.1998911	13.51713092	5.580510211	26.64318868	2.276312194	1.777236198	0.635191072	0.024115055	0.246365167	NA	2.05E-02	5.66E-02	0.153506795	6.02E-03	0.722895472	2.05E-03	0.065289158	NA	5.16E-03	0.023397592	0.6379599	0.048591668	2.231753621	8.71E-03	0.567641588	NA	20.73721831
"5C, T1+"	2024	T+	T	5C	2	control	nodirect	0	0	0	w12	0.006542349	1.28563266	2.26472646	13.72267736	5.362273968	8.082846401	9.715982815	0.40909486	0.24215465	0.283576591	0.314478911	1.295367155	1.839311178	0.406544754	0.864287975	1.128941419	1.681662357	0.836408271	35.2677162	16.24780332	8.896825596	25.05467118	3.264164959	0.8671335	0.33761662	0.049903939	0.170208017	3.89E-03	4.36E-03	2.45E-02	3.61E-02	4.54E-03	1.13877086	2.62E-03	0.078564085	1.18E-04	4.54E-03	0.003967102	0.765177958	0.059392913	0.641278722	2.50E-03	0.471688155	NA	28.18719171
"5C, U1-"	2024	U-	U	5C	2	control	noindirect	0	0	1	w12	0.016503504	3.344721686	11.89774667	63.15102198	7.417995534	10.39595065	12.68275137	0.589344354	0.404002042	0.413559722	0.508128099	4.397166964	3.029780136	0.388627263	1.13303569	8.045723544	4.87669022	1.128659498	29.31223982	14.17121706	12.19825929	21.92336253	3.45186971	1.647580375	0.518546223	0.053724853	0.181312995	6.59E-03	5.78E-03	2.27E-02	4.33E-02	5.19E-03	0.894489575	3.36E-03	0.088322983	NA	6.65E-03	0.01765162	0.612433744	0.091930911	0.588520751	1.17E-02	1.15503871	NA	25.37363776
"5C, U1+"	2024	U+	U	5C	2	control	nodirect	0	0	0	w12	0.030264574	0.898046275	0.81239902	21.23292265	4.665654675	5.809845363	4.096714839	0.484955317	0.224983385	0.224731719	0.151567541	0.949884842	1.569271782	0.542241049	1.110296184	0.757980388	1.728281232	0.687261791	39.82260731	15.61098605	8.361430196	25.27560167	3.352618311	0.572927599	0.219218014	0.032648043	0.120329588	5.67E-03	6.22E-03	2.63E-02	6.23E-02	4.40E-03	1.134619422	3.66E-03	0.103822807	1.94E-04	4.00E-03	0.002939465	0.923926767	0.068715705	1.387410333	2.80E-03	0.541888654	NA	29.09828095
"5C, V1-"	2024	V-	V	5C	2	control	noindirect	0	0	1	w12	-0.032442329	2.075512001	1.355648651	48.03327558	5.175409901	5.408679891	2.990333858	1.405170853	0.558592789	0.394174669	0.50785498	4.140296521	3.628053916	0.58134786	1.936893001	2.22154878	1.239372894	0.351435807	24.09931214	9.486385349	4.083598181	18.26639414	1.859468615	0.680426743	0.503189254	0.019921392	0.217566719	1.07E-02	5.78E-03	3.71E-02	5.40E-02	4.53E-03	0.605317024	1.66E-03	0.027846425	NA	2.90E-03	0.007554093	0.598113366	0.037309774	1.714432055	5.94E-03	0.21484674	NA	19.03637926
