year	calendar_week	timepoint	pond	block	treatment	TP	PO4	NH4	TOC	pH	Temp	O2pourcentage	Cond	light_weekly_mean
2024	KW30	61	8D	4	Herbivory	62.1	2.1	5.0	7.9	6.9	23.8	15.8	167.2	2275.005164
2024	KW32	63	4A	1	Herbivory	17.6	1.0	18.42	7.2	7.7	24.8	73.3	176.4	NA
2024	KW32	63	4B	1	Control	42.3	1.0	8.41	7.0	7.2	23.3	41.8	196.8	NA
2024	KW32	63	4C	1	Control	43.1	1.1	12.49	8.1	7.1	22.3	0.3	190.3	NA
2024	KW32	63	4D	1	Herbivory	58.5	1.3	8.27	8.9	6.8	22.3	2.4	185.8	NA
2024	KW32	63	5A	2	Herbivory	19.8	1.0	24.58	5.4	8.7	24.2	88	118.9	NA
2024	KW32	63	5B	2	Control	26.4	1.1	7.0	6.6	7.3	22.7	0.9	160.9	NA
2024	KW32	63	5C	2	Control	44.7	14.0	63.84	7.9	7.2	23.4	45.5	203	801.4784876
2024	KW32	63	7B	3	Herbivory	54.8	1.0	24.9	7.4	6.8	24.7	31	147.7	NA
2024	KW32	63	7C	3	Herbivory	20.1	1.1	17.02	8.4	7	23.2	33.4	159.1	572.489684
2024	KW32	63	7D	3	Control	17.5	1.0	12.1	7.8	7.3	22.6	16.8	160.6	NA
2024	KW32	63	8B	4	Control	12.4	1.0	7.12	5.7	8.8	24.6	110.8	126.9	NA
2024	KW32	63	8D	4	Herbivory	91.4	2.0	7.0	8.1	6.9	24.7	19.1	195.3	NA
