Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Pseudocodium|s__Pseudocodium_devriesii	0	20	14	40	11	0	37	27	87	55	47	13	20	0	11	14	20	20	42	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Rhipiliopsis|s__Rhipiliopsis_peltata	13	18	14	61	40	0	16	18	57	79	73	0	0	20	0	35	40	16	49	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Callipsygma|s__Callipsygma_wilsonis	32	40	74	23	89	52	89	19	38	13	24	27	55	37	73	18	63	50	13	15	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Rhipilia|s__Rhipilia_penicilloides	16	27	34	0	13	22	23	0	27	37	17	0	12	14	66	0	0	23	21	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Boodleopsis|s__Boodleopsis_sp._H.0758	31	29	23	58	61	15	44	34	36	58	37	27	30	30	94	61	77	52	54	30	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Boodleopsis|s__Boodleopsis_pusilla	75	46	18	121	60	12	17	27	35	61	69	46	21	49	117	110	74	44	91	44	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Chlorodesmis|s__Chlorodesmis_fastigiata	11	31	14	26	14	0	39	0	0	19	22	0	0	0	0	0	0	0	33	14	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Glaukea|s__Glaukea_argentea	24	17	0	41	0	32	12	0	0	41	0	38	0	0	16	0	0	15	25	26	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Udotea|s__Udotea_flabellum	45	0	16	20	19	18	19	0	42	46	27	28	23	27	39	29	29	22	0	28	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Tydemania|s__Tydemania_expeditionis	49	32	12	67	73	21	27	44	12	34	42	0	0	15	90	56	131	18	80	22	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Derbesiaceae|g__Derbesia|s__Derbesia_sp._WEST4838	10	32	48	0	12	0	46	15	39	12	0	22	0	0	24	0	0	20	0	20	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Derbesiaceae|g__Pedobesia|s__Pedobesia_claviformis	31	29	28	48	74	24	48	32	64	54	57	18	39	60	47	51	68	46	37	19	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_arabicum	18	36	15	58	51	0	49	36	17	21	21	25	0	21	74	67	55	39	43	37	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_arenicola	26	0	36	0	15	12	0	0	0	0	0	0	0	15	37	13	0	0	0	12	0	0	0	0	0	0
