Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Phragmites|s__Phragmites_australis	5940	9101	10412	6377	6554	5830	10377	7073	7212	8540	7276	7168	8214	6820	9527	6612	6359	7923	5193	5375	2537	2174	2584	2243	1893	2113
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Setaria|s__Setaria_viridis	2498	4087	4820	2272	2712	2078	3709	2434	3217	2736	2639	3395	3066	2329	4162	2202	2412	3399	1997	2324	900	676	841	798	674	641
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Setaria|s__Setaria_italica	2743	4200	5040	2589	2338	2022	4862	2677	3206	2837	2936	3145	2982	2307	4498	2505	2258	3774	2219	2268	827	674	954	728	675	728
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Panicum|s__Panicum_hallii	3799	6723	8188	3512	4168	3014	6175	3552	4754	3986	4789	5059	6086	3983	6513	3246	3554	5752	2884	3558	1204	881	1353	971	916	967
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Panicum|s__Panicum_virgatum	8829	14487	17168	8261	8175	6104	14728	8258	10451	9424	8804	11297	10215	8356	14964	7431	7436	12661	6680	8073	2206	1722	2413	2133	1719	1777
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Sorghum|s__Sorghum_bicolor	4809	8473	11648	4880	5918	4782	9369	5438	6198	6121	5723	6661	8080	5473	8126	4691	4738	7686	4066	4446	1460	1113	1517	1353	1071	1251
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Zea|s__Zea_mays	8293	13834	16594	8329	9077	6991	14279	8809	10896	10095	9415	10334	11383	8565	13638	8044	8177	11881	6840	7414	2934	2331	3108	2474	2252	2538
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Miscanthus|s__Miscanthus_floridulus	10162	15901	19948	10773	11457	8616	17349	10481	12687	12955	11565	12327	14267	10825	16975	10522	10373	14747	8796	8986	2980	2641	3109	2736	2389	2525
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_glaberrima	4281	6478	7096	4421	4033	3958	6604	3920	5130	5139	4578	5713	4923	4463	6771	4579	3958	5765	3597	4118	2010	1772	2041	1846	1581	1853
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_sativa	10081	14790	16566	10534	9563	9194	14991	9718	11752	9642	11292	12015	11294	10867	15786	11546	8883	13078	7941	9282	6403	5899	7192	5855	5002	5756
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_brachyantha	4507	6787	7448	4802	4217	3818	7050	4499	5045	5368	4721	5362	5507	4670	6720	4878	4338	5817	3593	3806	1772	1456	1575	1509	1205	1491
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Brachypodium|s__Brachypodium_distachyon	3021	4513	4974	2759	2731	2220	4463	3139	3744	3001	3285	3478	3572	2759	4327	2816	2744	4222	2632	2716	1646	1325	1690	1525	1308	1256
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Lolium|s__Lolium_perenne	6051	10432	12784	5989	6181	4782	11472	6290	8365	8100	6773	6962	7273	7408	10089	5665	5640	8616	4893	5221	1555	1426	1680	1499	1329	1246
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Lolium|s__Lolium_rigidum	7401	10698	12829	7320	7702	6817	12617	8119	8500	10061	8382	9080	9754	10179	11490	7489	7333	10447	6383	6612	2271	1963	2387	1963	1707	1915
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Hordeum|s__Hordeum_vulgare	19642	28608	34832	20976	21753	18029	36398	20823	29298	30566	24150	23400	24716	19543	29690	19203	21600	30996	22009	15736	5105	4158	5011	4515	3700	4312
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Aegilops|s__Aegilops_tauschii	9081	13664	15444	8516	8329	7160	13275	8637	9926	11753	8688	11446	11062	12146	14052	8250	8281	12404	7612	7736	2497	1923	2841	2328	1985	2098
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_urartu	10318	15975	18860	10017	10385	8522	16709	10116	11961	11563	10535	13973	13089	10769	17476	9381	10021	14403	8658	9362	2244	1832	2667	2224	1643	1821
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_dicoccoides	14685	22506	26301	13753	14435	12075	24705	14922	17415	17756	14916	18108	17878	14958	22900	13576	13477	19658	11833	12651	3439	2732	3596	3151	2699	2735
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_aestivum	25762	40495	47927	24339	26097	20534	42412	25735	31676	29429	27533	33775	31742	24578	45334	23212	24116	35751	20305	22748	6221	5042	6998	5206	4518	5060
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Santalales|f__Ximeniaceae|g__Malania|s__Malania_oleifera	12572	17365	20197	17953	16432	16761	33205	17655	17195	27053	17333	13348	20822	21412	20254	19987	17160	16449	12350	8224	2825	2504	3051	2584	2166	2456
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Amaranthaceae|g__Amaranthus|s__Amaranthus_tricolor	19808	23846	24827	29615	26328	26977	47047	29925	25778	44582	26538	18654	33630	31521	28189	34209	25467	22774	20264	10619	3357	3030	2991	2456	2500	2830
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae|g__Beta|s__Beta_vulgaris	5489	7319	8634	7673	7488	6898	12803	7631	7705	11926	7414	6049	8617	8588	8450	8791	7860	7330	6311	3567	1353	1189	1429	1143	966	1039
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae|g__Spinacia|s__Spinacia_oleracea	20298	26344	29543	30664	27788	27367	55069	29535	29142	46889	29175	21770	34545	33717	31493	36991	30201	27790	21775	11539	2781	2541	3028	2464	2116	2522
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Ericaceae|g__Rhododendron|s__Rhododendron_vialii	4102	5606	6312	5230	5169	5014	9283	5595	5227	7606	5399	4396	6179	5564	6066	5829	5439	5593	4318	3159	1613	1405	1622	1421	1268	1331
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Ebenaceae|g__Diospyros|s__Diospyros_lotus	6625	8845	10151	8956	8368	8550	16651	9059	9012	12948	8709	6866	10468	9545	9957	10736	8697	8675	6389	4415	1848	1741	1817	1576	1483	1496
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Actinidiaceae|g__Actinidia|s__Actinidia_eriantha	7346	9206	10972	10247	9238	9017	18026	10494	9923	15127	9962	7778	13152	11034	10791	12078	11216	9955	7109	4842	2169	1996	2161	1871	1563	1887
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Balsaminaceae|g__Impatiens|s__Impatiens_glandulifera	10307	12107	12732	16064	16776	15849	28146	15469	12188	23928	14311	9734	17971	17744	15257	20079	14332	11985	9445	5263	1379	1397	1298	1162	1101	1252
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales|f__Apiaceae|g__Daucus|s__Daucus_carota	3779	4976	4735	5798	4939	4895	8845	5699	4754	9122	5481	3849	6326	5851	5280	6813	5068	4286	3775	2165	758	668	743	624	525	664
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Cynara|s__Cynara_cardunculus	5020	6106	7024	8031	7158	6785	12785	7973	7160	12453	7464	5797	9056	8141	7240	9286	7456	6177	5610	3419	761	743	724	632	607	605
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Lactuca|s__Lactuca_sativa	12909	15477	17209	18773	17134	16764	30861	17741	16256	29280	18408	13109	21632	22366	18382	22069	16771	15613	12683	7660	2208	1939	2013	1741	1600	1715
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Erigeron|s__Erigeron_canadensis	3913	4554	5230	6090	5370	5279	9108	5890	4912	8845	5451	3871	6928	6230	5429	7127	5597	4728	3755	2254	726	683	740	612	496	612
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Helianthus|s__Helianthus_annuus	11901	15458	17811	16095	16079	14166	28333	16314	15757	27294	16339	12557	20080	19412	17545	18512	16920	15670	13800	7920	1950	1953	2075	1756	1606	1755
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Rutidosis|s__Rutidosis_leptorrhynchoides	21279	23996	25968	33588	27006	25986	49355	28833	31308	50964	31212	20704	35960	33203	29781	38018	31767	24522	23399	10897	2482	2584	2199	2006	2038	2177
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Gentianales|f__Rubiaceae|g__Coffea|s__Coffea_eugenioides	2505	3244	3706	3470	3597	3193	6598	3986	3634	5558	3588	2676	4438	3954	3526	3901	3547	3252	2743	1616	380	349	406	346	273	351
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Gentianales|f__Rubiaceae|g__Coffea|s__Coffea_arabica	3956	5390	6379	6036	5177	5295	10655	5935	6169	8999	5931	4477	6698	6268	6377	6832	5592	5446	4232	2755	1068	1010	1146	908	770	856
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Pedaliaceae|g__Sesamum|s__Sesamum_indicum	3882	4832	4895	5672	5183	4921	8858	5457	4572	7247	5121	4281	6085	5964	5780	6830	5132	4598	3406	2441	719	717	674	603	636	645
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Oleaceae|g__Olea|s__Olea_europaea	7850	9915	10325	11727	10978	11188	19978	12040	10451	17394	11058	8131	13297	12675	11429	13335	11153	9570	8274	5264	1522	1531	1661	1381	1306	1332
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_splendens	5438	6546	7961	8114	7276	7425	12951	7714	6801	11704	8168	6153	8693	8495	8006	9216	7388	6727	5690	3949	1547	1336	1493	1183	1201	1261
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_hispanica	3156	4059	4023	4321	3976	3829	7369	4036	3777	6699	3954	3080	4655	6478	4235	4885	4015	3679	2976	1955	875	928	791	761	658	795
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_miltiorrhiza	4809	5844	6698	6674	6167	5424	12480	6535	5886	9434	6551	4768	7226	7177	7075	8135	6309	5866	4601	3030	1127	1080	1236	985	878	958
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Convolvulaceae|g__Ipomoea|s__Ipomoea_triloba	5151	6322	6853	7320	6943	7001	13162	7516	6914	11381	7647	5573	8740	8003	7910	8548	7185	6081	5170	3298	1418	1241	1423	1086	900	1098
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_tomentosiformis	6672	8525	9780	10041	9555	8816	16985	10428	8649	15600	9831	7140	11986	10384	9653	11393	10073	8715	7114	4270	940	867	984	807	697	779
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_attenuata	8317	10377	13319	12259	12005	10959	21013	12488	10773	18931	12638	9125	14507	13131	12199	13640	12262	11348	9237	5818	1434	1392	1764	1322	1198	1270
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_sylvestris	7935	9784	11002	12071	11152	11304	20519	13230	10773	18211	11772	8217	12888	12247	12099	13925	11247	10587	8329	5051	1385	1492	1535	1264	1200	1177
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Lycium|s__Lycium_ferocissimum	7253	8707	10306	9436	9462	9023	17559	10036	9712	15632	9943	7427	11714	11127	9958	10822	10549	9648	7853	4942	1308	1186	1612	1188	1102	1303
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Lycium|s__Lycium_barbarum	7301	10066	11120	9601	9722	8041	17408	9760	10299	15771	10099	7180	11471	12907	10522	10846	10081	9738	7489	4617	1258	1021	1376	1102	998	1045
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Capsicum|s__Capsicum_annuum	17967	21276	23828	28766	26061	26476	45520	29238	23809	43836	27602	18773	30904	31483	25974	33440	26570	21903	18923	10835	2537	2490	2669	2178	2064	2225
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_stenotomum	5796	6530	7415	8824	7763	7410	14445	8524	7174	13072	8168	5814	9824	9040	7987	10381	8160	6824	5786	3320	897	862	1031	748	733	799
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_dulcamara	8465	9824	10942	13145	11721	10943	21764	13317	10598	19408	12258	8794	13897	13789	12373	15082	12181	10260	8879	4942	1201	1161	1163	1033	1093	1018
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_pennellii	14121	13388	14876	17495	16325	18533	27028	18212	16651	20831	18030	12618	17468	20092	17810	22898	17504	15186	14605	10736	9884	9889	12058	9796	7555	8069
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_lycopersicum	36995	33486	41996	46267	41061	46084	70821	47496	43844	52943	42448	32747	46175	51552	47546	56940	43806	39405	38085	26101	23229	23874	28456	23485	18022	19082
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis_vinifera	6387	7864	8108	9710	8401	8757	18548	10079	7726	15074	9137	6348	11537	12053	10011	12255	8865	8276	5956	3609	1119	1029	1314	1046	922	943
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis_riparia	6958	7169	7689	9627	8674	8652	18002	9663	7999	15193	8674	6737	10497	11050	9897	12086	9496	7435	6330	3755	1304	1304	1187	1065	1100	1089
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Rutaceae|g__Citrus|s__Citrus_sinensis	4222	4902	5339	6165	5827	5142	11406	5986	6274	9812	6357	4201	7299	7118	6223	7246	6022	4850	4155	2254	806	656	732	685	551	600
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Anacardiaceae|g__Mangifera|s__Mangifera_indica	5849	6482	7170	8883	7569	8080	15089	8201	7145	12708	8187	5895	9344	9539	8136	11212	7973	6540	5331	3539	755	824	843	697	632	782
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Lythraceae|g__Punica|s__Punica_granatum	3701	4891	5243	5339	4657	4460	9433	5020	4383	7388	5101	4061	5691	5537	5128	5837	4629	4854	3727	2871	1623	1412	1608	1333	1284	1320
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Myrtaceae|g__Rhodamnia|s__Rhodamnia_argentea	3077	4126	4273	3965	3694	3366	7688	4303	4433	5807	4183	3271	4757	4305	4524	4325	4096	4403	3257	2230	1133	971	1066	947	825	859
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Myrtaceae|g__Eucalyptus|s__Eucalyptus_grandis	8241	10444	11413	10777	9776	9371	19388	10713	10019	16769	10400	8604	12207	12455	12858	12153	9769	10636	7721	5579	2919	2582	2736	2528	2175	2587
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Theobroma|s__Theobroma_cacao	3244	4056	3839	4970	4111	4176	8581	4715	3732	7227	4662	3266	5505	5085	4406	5984	4088	3725	3180	1815	525	627	675	481	479	499
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_raimondii	6237	6699	6967	10289	8303	8541	16848	9288	7538	14578	8893	6119	10680	10956	8667	12998	8365	6736	5435	3262	546	604	647	516	520	553
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_arboreum	7261	7955	8621	11820	9842	10746	20384	11092	9504	18136	10653	7173	12728	12869	10527	13911	10814	8068	7287	4054	825	766	763	613	579	628
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_hirsutum	14069	16141	16861	22827	18848	19903	39681	21083	17138	33589	20342	14118	23723	24368	20411	27765	20250	16037	13042	6977	1769	1732	1610	1434	1422	1462
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Arabidopsis|s__Arabidopsis_thaliana	1242	1392	1534	1884	1641	1493	3254	1898	1784	2925	1667	1139	1878	1917	1694	1984	1661	1482	1353	718	138	125	158	171	127	135
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Camelina|s__Camelina_sativa	6304	6987	8097	8080	9858	7386	13532	9070	7765	12433	9160	5801	9548	10076	8780	8864	7938	7952	6734	3886	990	867	870	889	784	920
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Raphanus|s__Raphanus_sativus	14577	16440	17539	22364	18550	18444	40302	21572	19010	34225	19845	13752	23566	24020	21086	26485	19418	15888	13861	6775	1964	1717	1747	1766	1615	1778
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_rapa	3141	3816	3968	4423	4152	4283	8599	4486	4166	6282	4202	3276	5197	5468	4674	5312	3966	3486	3038	5579	731	622	574	696	539	570
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_oleracea	2764	3284	3541	4297	4061	3800	7714	4132	3792	7263	4257	3007	4709	4788	4319	5089	3985	3431	3134	3996	465	432	449	382	324	496
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_napus	14447	18772	20047	21625	20148	19668	39313	21572	17870	34919	24462	15333	25767	25395	22961	26508	20126	18890	15092	35043	2819	2561	2672	2286	2012	2136
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Celastrales|f__Celastraceae|g__Tripterygium|s__Tripterygium_wilfordii	3749	4371	4548	4500	4634	3701	8498	4836	4259	9361	4784	3561	5275	7888	5081	5405	4511	4522	4074	2095	716	528	625	446	462	511
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita|s__Cucurbita_pepo	3491	4808	5452	5162	4698	4309	9758	4837	4721	8117	5022	3271	5873	6211	5224	6035	4366	4474	3522	1994	647	664	666	537	485	602
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Benincasa|s__Benincasa_hispida	8464	9157	10151	12894	11224	12175	23119	12860	10005	20191	11749	8141	14837	15472	12172	15421	11818	9664	8337	4905	1641	1622	1703	1396	1396	1387
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis_sativus	4034	4330	4650	5476	4434	5088	9019	4818	4320	8134	5454	3386	6635	5855	5117	6271	5372	4458	3460	1988	559	563	724	549	463	544
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucumis|s__Cucumis_melo	26031	30213	30603	37285	35705	32711	69775	38654	31339	67760	32865	25568	43161	42865	36875	46412	42803	31383	29416	12969	4478	4384	3686	3164	3480	3677
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Betulaceae|g__Corylus|s__Corylus_avellana	4392	6015	6914	5719	5424	5115	12454	5841	6105	9366	5290	4486	6743	7261	6871	6555	6017	5671	4289	2808	1047	979	976	864	813	915
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Betulaceae|g__Alnus|s__Alnus_glutinosa	9557	12230	12912	12986	12710	12142	26168	13279	13042	22922	12513	10342	17074	15526	13701	15122	12965	12838	10375	5779	2289	1951	2229	1934	1691	1878
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Fagaceae|g__Quercus|s__Quercus_robur	11181	13791	16170	14579	14934	12951	31501	15706	14496	24609	14518	11484	18211	18423	16514	17144	15839	15190	12304	6656	2247	2081	2475	1840	1777	1944
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Fagaceae|g__Quercus|s__Quercus_lobata	8416	10419	11569	12509	11109	10522	24065	12141	11581	19718	11686	8485	14357	14590	11851	14293	11628	11194	9178	4974	1944	1842	2013	1660	1593	1597
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Carya|s__Carya_illinoinensis	7975	9375	10435	12245	10720	10569	21502	11454	9418	18401	11001	7763	13094	13399	11364	14566	11315	9688	8267	4631	1915	1694	1777	1474	1353	1485
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Juglans|s__Juglans_regia	6837	8403	9859	10158	9071	8397	19520	9692	8866	17036	8917	7029	12159	11931	9889	11662	9804	8266	7124	3995	1734	1586	1816	1476	1148	1201
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales|f__Juglandaceae|g__Juglans|s__Juglans_microcarpa_x_Juglans_regia	5822	7177	8303	8353	7561	7422	15266	8229	6969	12924	7820	5744	10004	9898	8205	9724	8172	6905	5936	3656	1553	1469	1513	1376	1229	1291
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rhamnaceae|g__Ziziphus|s__Ziziphus_jujuba	9214	11042	11191	13907	12114	12098	25216	13797	11889	22236	12216	9846	16106	15468	13405	16210	12832	11139	9553	5408	1882	1852	1992	1604	1564	1625
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Cannabaceae|g__Cannabis|s__Cannabis_sativa	7161	8164	9075	11126	9882	9919	20921	10640	8922	16484	10026	6659	12233	11975	10491	13415	10063	8258	6683	3759	888	891	907	726	719	729
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Cannabaceae|g__Humulus|s__Humulus_lupulus	18312	23196	26123	28382	26059	25354	50385	27543	23440	43017	25773	18173	32470	31556	28558	33115	26050	23087	18342	10358	3037	3065	3028	2691	2356	2699
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Fragaria|s__Fragaria_vesca	1888	2351	2763	2537	2501	2184	4731	2639	2537	4151	2712	1880	2917	2776	2639	2943	2370	2671	2352	1285	537	529	677	525	573	530
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Argentina|s__Argentina_anserina	2273	3145	3631	2902	2677	2903	5276	3133	2857	4795	3081	2334	3465	3108	3440	3335	2934	2918	2500	1557	964	713	808	735	641	760
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Rosa|s__Rosa_rugosa	2161	2946	3662	3055	2922	2862	5901	3352	3219	4673	3089	2509	3599	3429	3486	3299	3174	3326	2542	1681	656	568	608	554	499	590
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Rosa|s__Rosa_chinensis	2628	3526	4036	3428	3782	3142	6867	4075	3539	5625	3871	2869	4482	4010	4113	4095	3907	3487	2690	2022	754	629	692	613	521	582
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_dulcis	1720	2096	2379	2326	2084	1805	4207	2047	2217	5429	2449	1699	2517	2490	2241	2879	2376	2239	2615	975	382	313	354	259	280	310
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_persica	1972	2261	3341	2444	2754	2321	4853	2521	2641	3799	2550	1790	3268	2994	2734	2843	2762	2717	2107	1149	466	396	478	436	402	425
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus_mume	2255	2517	3264	2826	2918	2357	5477	2640	2743	4564	2965	1977	3723	3402	3156	3539	3312	3206	2247	1328	559	526	460	489	291	452
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Pyrus|s__Pyrus_communis	3821	4755	5359	5236	5030	4701	10114	5444	5474	8043	5195	3888	6530	5985	5546	6077	5260	5180	4116	2488	1202	988	1202	937	898	964
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Malus|s__Malus_sylvestris	3603	4482	4952	4858	5853	4444	9040	5407	4357	21551	4768	3852	5727	4939	5268	5707	6037	4552	10820	2384	1122	1029	1092	940	817	865
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae|g__Malus|s__Malus_domestica	3191	4010	4591	4155	4873	4081	8353	4348	4650	7944	5025	3269	5290	7426	4540	4384	4055	4116	3672	2111	634	569	714	618	494	503
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Salicaceae|g__Populus|s__Populus_trichocarpa	5688	6742	7596	8764	7994	7632	17454	8538	7189	13536	7946	5462	9146	10071	8590	10028	7657	7507	5826	3018	880	872	886	792	641	784
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Salicaceae|g__Populus|s__Populus_nigra	19018	23248	23600	28117	26710	25172	55992	26273	23302	44548	24802	19092	33408	32481	27906	32822	25523	21682	18314	9536	2859	2925	2987	2581	2659	2654
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Euphorbia|s__Euphorbia_lathyris	6646	7766	8398	10984	9330	9152	18257	10134	9320	16738	9419	6827	11315	11380	9995	12731	9601	8445	7261	3926	1283	1427	1384	1166	1075	1234
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Ricinus|s__Ricinus_communis	5469	6099	6215	9443	7796	7542	15506	8208	6265	14422	8347	5282	9549	10275	7948	11308	7874	5989	5702	2972	903	923	924	721	804	767
